City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Berezovka,BY,2021-03-28 13:36:39,53.7214,25.4993,47.17,59,100,8.46
68,Berlevag,NO,2021-03-28 13:36:39,70.8578,29.0864,36.37,79,7,24.29
69,Nabire,ID,2021-03-28 13:36:39,-3.3667,135.4833,75.67,94,100,1.57
70,Parry Sound,CA,2021-03-28 13:32:31,45.3501,-80.033,39.2,93,100,8.14
71,Vaini,TO,2021-03-28 13:36:39,-21.2,-175.2,77.0,100,90,8.05
72,Constitucion,CL,2021-03-28 13:36:40,-35.3333,-72.4167,66.65,42,0,3.15
73,Kandrian,PG,2021-03-28 13:36:40,-6.2167,149.55,78.24,88,100,5.95
74,Codrington,AU,2021-03-28 13:36:40,-38.2667,141.9667,55.09,94,1,7.14
75,Faanui,PF,2021-03-28 13:36:40,-16.4833,-151.75,81.82,75,60,21.34
76,Ponta Do Sol,PT,2021-03-28 13:36:41,32.6667,-17.1,68.0,68,40,12.66
77,Taoudenni,ML,2021-03-28 13:36:41,22.6783,-3.9836,95.13,4,39,13.98
78,Chadiza,ZM,2021-03-28 13:36:41,-14.0678,32.4392,71.94,87,94,7.43
79,Tiksi,RU,2021-03-28 13:36:42,71.6872,128.8694,1.92,99,100,1.23
80,Saint George,US,2021-03-28 13:36:42,37.1041,-113.5841,44.6,49,1,8.05
81,Mims,US,2021-03-28 13:36:42,28.6653,-80.8448,78.8,94,1,5.75
82,Ploemeur,FR,2021-03-28 13:36:42,47.7333,-3.4333,57.0,66,40,12.66
83,Formiga,BR,2021-03-28 13:33:15,-20.4644,-45.4264,81.43,60,3,1.12
84,Kapaa,US,2021-03-28 13:36:43,22.0752,-159.319,73.99,73,90,20.71
85,Hobart,AU,2021-03-28 13:36:43,-42.8794,147.3294,55.4,41,21,17.27
86,Kamra,PK,2021-03-28 13:36:43,33.7473,73.5111,81.0,47,89,3.0
87,Albany,US,2021-03-28 13:35:24,42.6001,-73.9662,50.0,68,100,1.99
88,Elblag,PL,2021-03-28 13:36:43,54.1522,19.4088,53.01,38,100,11.63
89,Chipiona,ES,2021-03-28 13:36:44,36.7366,-6.437,77.0,52,0,24.16
90,Richards Bay,ZA,2021-03-28 13:36:44,-28.783,32.0377,71.28,73,93,11.23
91,Baripada,IN,2021-03-28 13:36:44,21.935,86.7214,85.78,45,5,15.32
92,Port Elizabeth,ZA,2021-03-28 13:36:44,-33.918,25.5701,68.0,68,40,14.97
93,Victoria,HK,2021-03-28 13:33:32,22.2855,114.1577,78.01,81,5,1.01
94,Turukhansk,RU,2021-03-28 13:36:45,65.8167,87.9833,1.96,99,23,4.83
95,Les Cayes,HT,2021-03-28 13:36:45,18.2,-73.75,81.41,63,0,6.69
96,Hilo,US,2021-03-28 13:32:52,19.7297,-155.09,66.2,82,40,8.05
97,Poum,NC,2021-03-28 13:36:45,-20.2333,164.0167,80.51,76,14,11.68
98,Koungheul,SN,2021-03-28 13:36:46,13.9833,-14.8,105.49,5,0,8.86
99,Albert,FR,2021-03-28 13:36:46,50.0009,2.651,57.99,62,40,14.97
100,Avarua,CK,2021-03-28 13:36:46,-21.2078,-159.775,78.8,83,75,9.22
101,Inuvik,CA,2021-03-28 13:36:46,68.3499,-133.7218,-20.2,76,100,4.61
102,Mahanoro,MG,2021-03-28 13:36:47,-19.9,48.8,82.67,75,0,5.64
103,Riorges,FR,2021-03-28 13:36:47,46.0418,4.0497,61.0,41,0,4.61
104,Batagay,RU,2021-03-28 13:36:47,67.6333,134.6333,-5.87,100,86,1.3
105,Dikson,RU,2021-03-28 13:36:47,73.5069,80.5464,-19.8,100,7,7.58
106,Maniitsoq,GL,2021-03-28 13:36:48,65.4167,-52.9,1.08,51,13,3.74
107,San Policarpo,PH,2021-03-28 13:36:48,12.1791,125.5072,80.01,83,100,8.7
108,Chippewa Falls,US,2021-03-28 13:35:04,44.9369,-91.3929,32.0,69,1,12.66
109,Falun,SE,2021-03-28 13:36:48,60.6036,15.626,41.0,93,90,5.75
