City_ID,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
79,Grindavik,63.8424,-22.4338,41.0,overcast clouds,81,90,11.5,IS
80,Castro,-24.7911,-50.0119,56.48,clear sky,73,0,2.64,BR
81,Yerbogachen,61.2767,108.0108,-0.69,overcast clouds,96,99,2.06,RU
82,Puerto Ayora,-0.7393,-90.3518,82.4,few clouds,74,20,6.91,EC
83,San Patricio,28.017,-97.5169,66.99,broken clouds,42,75,16.11,US
84,Luderitz,-26.6481,15.1594,67.93,clear sky,65,0,12.3,NA
85,Amapa,1.0,-52.0,70.92,overcast clouds,99,100,1.36,BR
86,Thompson,55.7435,-97.8558,44.6,overcast clouds,45,90,6.91,CA
87,Torbay,47.6666,-52.7314,39.2,broken clouds,52,75,6.91,CA
88,Jamestown,42.097,-79.2353,28.99,light snow,74,90,20.71,US
89,Catamarca,-28.4696,-65.7852,71.01,scattered clouds,80,47,8.01,AR
90,Busselton,-33.65,115.3333,66.0,broken clouds,95,58,1.99,AU
91,Soyo,-6.1349,12.3689,80.2,overcast clouds,79,100,5.95,AO
92,Havoysund,70.9963,24.6622,28.4,overcast clouds,80,100,6.44,NO
93,Boshnyakovo,49.6333,142.1667,34.9,overcast clouds,84,92,5.39,RU
94,Bluff,-46.6,168.3333,57.0,overcast clouds,63,86,15.99,NZ
95,Savinka,50.0785,47.0994,39.79,clear sky,64,2,8.93,RU
96,Tessalit,20.1986,1.0114,78.93,clear sky,9,5,10.87,ML
97,Arkhangelskoye,55.8549,35.3287,33.22,snow,98,100,2.59,RU
98,Arraial Do Cabo,-22.9661,-42.0278,76.5,few clouds,76,16,22.17,BR
99,Quatre Cocos,-20.2078,57.7625,78.8,light rain,89,40,3.44,MU
100,Port Elizabeth,-33.918,25.5701,60.8,broken clouds,82,75,4.61,ZA
101,Port Hardy,50.6996,-127.4199,46.4,broken clouds,70,75,6.91,CA
102,Mitu,1.1983,-70.1733,74.91,moderate rain,95,93,1.57,CO
103,Clyde River,70.4692,-68.5914,-16.6,clear sky,69,1,11.5,CA
104,Geraldton,-28.7667,114.6,75.2,overcast clouds,94,90,5.75,AU
105,Longyearbyen,78.2186,15.6401,28.4,broken clouds,74,75,9.22,SJ
106,Hyeres,43.1167,6.1167,57.2,clear sky,54,0,7.43,FR
107,Turayf,31.6725,38.6637,50.0,clear sky,71,0,11.5,SA
108,Leningradskiy,69.3833,178.4167,-0.29,overcast clouds,93,97,4.65,RU
109,Kango,0.1943,10.0951,75.04,overcast clouds,97,100,2.1,GA
110,Kaeo,-35.1,173.7833,72.0,few clouds,76,12,5.01,NZ
111,Waipawa,-41.4122,175.5153,61.0,broken clouds,72,75,21.85,NZ
112,Lazaro Cardenas,17.9583,-102.2,85.42,clear sky,51,0,10.42,MX
113,Berlin,52.5244,13.4105,44.01,broken clouds,81,75,16.11,DE
114,Rawson,-43.3002,-65.1023,63.79,broken clouds,69,71,13.0,AR
115,Nanortalik,60.1432,-45.2371,35.91,light rain,87,100,6.02,GL
116,San Cristobal,7.7669,-72.225,82.4,scattered clouds,69,40,6.91,VE
117,Carutapera,-1.195,-46.02,76.64,moderate rain,88,100,4.97,BR
118,Pathalgaon,22.5667,83.4667,69.17,clear sky,6,0,4.21,IN
119,Portland,45.5234,-122.6762,69.01,broken clouds,34,75,4.61,US
120,Wattegama,6.7989,81.4808,72.52,clear sky,84,10,4.05,LK
121,Kamina,-8.7386,24.9906,63.84,broken clouds,94,60,2.06,CD
122,Katunino,64.3862,40.6298,32.0,light snow,93,90,2.24,RU
123,Tarko-Sale,64.9225,77.785,25.05,light snow,97,100,5.99,RU
124,Shahreza,32.0339,51.8794,59.99,clear sky,32,0,5.61,IR
125,Egvekinot,66.3167,-179.1667,4.98,light snow,92,100,4.74,RU
126,Gari,59.4307,62.3497,31.08,overcast clouds,95,89,8.57,RU
127,Ruteng,-8.6136,120.4721,64.11,overcast clouds,94,100,2.15,ID
128,Barrow,71.2906,-156.7887,-7.6,clear sky,71,1,3.44,US
129,Great Yarmouth,52.6083,1.7305,43.0,overcast clouds,70,90,10.36,GB
130,Cabo San Lucas,22.8909,-109.9124,86.0,few clouds,36,20,9.22,MX
131,Port Lincoln,-34.7333,135.8667,73.54,clear sky,50,0,7.74,AU
132,Grand Gaube,-20.0064,57.6608,75.99,light rain,86,19,1.99,MU
133,Karratha,-20.7377,116.8463,81.57,clear sky,58,1,6.55,AU
134,Georgetown,5.4112,100.3354,82.99,few clouds,89,20,2.3,MY
135,Gamba,-2.65,10.0,77.92,overcast clouds,87,95,4.07,GA
136,Hobart,-42.8794,147.3294,61.0,broken clouds,82,75,3.44,AU
137,Mayo,38.8876,-76.5119,44.6,overcast clouds,57,90,17.27,US
138,Esperance,-33.8667,121.9,71.6,clear sky,20,0,18.41,AU
139,Cape Town,-33.9258,18.4232,63.0,clear sky,67,0,11.5,ZA
