City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
70,219,Cap Malheureux,MU,75.99,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
71,220,Hsinchu,TW,75.99,clear sky,24.8036,120.9686,迎曦大飯店
72,223,Nanakuli,US,84.2,few clouds,21.3906,-158.1547,Camp Pālehua
73,227,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
74,228,Dzaoudzi,YT,80.6,clear sky,-12.7887,45.2699,Le Rocher
75,229,Isla Vista,US,82.4,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
76,230,Touros,BR,80.6,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
77,232,Hithadhoo,MV,83.28,scattered clouds,-0.6,73.0833,Scoop Guest House
78,234,Teknaf,BD,75.87,clear sky,20.8624,92.3058,Forestry Guesthouse
79,235,Yarada,IN,82.4,mist,17.65,83.2667,Jeevan
80,236,Singapore,SG,80.6,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
81,238,Bandarbeyla,SO,76.26,scattered clouds,9.4942,50.8122,JABIR HOTEL
82,248,Manggar,ID,77.5,overcast clouds,-2.8833,108.2667,Guest Hotel
83,251,Esmeraldas,BR,80.6,clear sky,-19.7625,-44.3139,Forasteiro Pousada - Hotel
84,254,Kavaratti,IN,83.12,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
85,255,Harper,LR,78.78,scattered clouds,4.375,-7.7169,Screensaver
87,267,Faanui,PF,82.62,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
88,275,Bandrele,YT,80.6,light rain,-12.9067,45.1914,Les Baobabs
89,277,Tsabong,BW,79.48,broken clouds,-26.0217,22.401,Springbok Motel
90,279,Labuhan,ID,77.2,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
91,284,Fare,PF,82.74,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
92,286,Wajir,KE,81.5,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
93,287,Waingapu,ID,78.39,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
94,291,Mayumba,GA,78.71,light rain,-3.432,10.6554,LIKWALE LODGE
95,296,Bubaque,GW,75.87,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
96,299,Kodinar,IN,75.31,few clouds,20.7903,70.7031,Gayatri Auto advisor
97,301,Santa Isabel Do Rio Negro,BR,75.69,overcast clouds,-0.4139,-65.0192,Hotel GSA
98,303,Tautira,PF,87.8,moderate rain,-17.7333,-149.15,Pension Oaoa
99,304,Lake Havasu City,US,87.8,clear sky,34.4839,-114.3224,Heat Hotel
100,308,Wanning,CN,76.06,few clouds,18.8003,110.3967,Paradise Hotel
101,309,Verrettes,HT,86.0,few clouds,19.05,-72.4667,"La Verrettienne,Hôtel/Restaurant/Club"
102,310,Ekpoma,NG,75.88,few clouds,6.7421,6.1389999999999985,His Banna Hotel
103,312,Vila Velha,BR,77.0,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
104,316,Bushehr,IR,75.4,broken clouds,28.9684,50.8385,Yas Hotel
107,324,Katobu,ID,76.98,overcast clouds,-4.9408,122.5276,La Ode Husein
108,327,Bosaso,SO,79.39,few clouds,11.2842,49.1816,Red Sea Hotel
109,337,Dehloran,IR,76.08,overcast clouds,32.6941,47.2679,کافه گیم استورم
110,339,Pucallpa,PE,84.2,scattered clouds,-8.3791,-74.5539,Hospedaje Komby
111,340,Bonthe,SL,79.36,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
112,345,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
113,347,Coahuayana,MX,86.0,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
115,349,Labrea,BR,75.15,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
116,352,Tucurui,BR,75.65,heavy intensity rain,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
117,353,Kalmunai,LK,76.98,few clouds,7.4167,81.8167,VS Villa
118,356,Jawhar,SO,79.21,overcast clouds,2.7809,45.5005,cosoble spare parts
119,357,Sao Jose Da Coroa Grande,BR,79.39,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
120,372,Sola,VU,84.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
121,375,Gouyave,GD,80.6,few clouds,12.1646,-61.7296,Rumboat Retreat
122,377,Kouroussa,GN,84.25,clear sky,10.65,-9.8833,Hotel Paillote
123,378,Nicoya,CR,89.6,clear sky,10.1483,-85.45200000000001,Guayacan Real
124,381,Acarau,BR,78.57,broken clouds,-2.8856,-40.12,castelo pizzaria
125,388,Ixtapa,MX,77.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
126,394,Ambon,ID,78.8,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
127,402,Half Moon Bay,US,77.0,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
128,404,Pacifica,US,80.6,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
129,420,Inirida,CO,76.03,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
130,421,Port Hueneme,US,84.2,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
132,429,Laguna,US,84.2,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
133,433,La Montanita,CO,75.61,overcast clouds,1.4766,-75.4398,Casa Materna La Montañita
134,434,Catio,GW,75.02,clear sky,11.2833,-15.25,Pausada Morabedja
135,441,Puerto Baquerizo Moreno,EC,80.6,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
136,444,Pauini,BR,75.27,light rain,-7.7136,-66.9764,Casa do Kiwliks
138,449,Alice Town,BS,75.45,overcast clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
139,454,Denpasar,ID,78.8,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
140,456,Maceio,BR,77.0,clear sky,-9.6658,-35.7353,Poutur Pousada
141,457,Iracoubo,GF,77.43,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
142,459,Lompoc,US,75.99,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
143,460,Makakilo City,US,84.2,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
144,461,Honiara,SB,85.1,overcast clouds,-9.4333,159.95,Heritage Park Hotel
145,462,Dicabisagan,PH,78.04,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
146,463,Tevaitoa,PF,82.58,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
147,464,Tayu,ID,77.5,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
148,465,Siparia,TT,80.01,overcast clouds,10.1333,-61.5,Brook Gardens
149,469,Nargana,PA,80.2,broken clouds,9.4428,-78.5906,Dubbir
150,478,Atmakur,IN,80.26,overcast clouds,15.8833,78.5833,Mee seva atk
151,480,Buala,SB,84.94,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
152,482,Suba,PH,82.29,overcast clouds,10.8438,121.0102,Casita Bed and Grill
153,483,Ormara,PK,82.27,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
154,490,Saquarema,BR,80.6,scattered clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
155,493,Cabedelo,BR,80.6,few clouds,-6.9811,-34.8339,Hotel Pigalle
156,497,Sibolga,ID,75.6,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
157,502,Chiang Klang,TH,76.17,clear sky,19.2938,100.8617,Sangthong Resort
158,503,Conde,BR,80.6,few clouds,-7.2597,-34.9075,Pousada Beija Flor
159,504,Kupang,ID,75.2,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
160,505,Alcantara,BR,80.6,moderate rain,-2.4089,-44.4147,Pousada da Josefa
161,513,Balikpapan,ID,76.17,light rain,-1.2675,116.8289,ibis Balikpapan
162,514,Kieta,PG,83.26,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
163,521,Namatanai,PG,83.68,light rain,-3.6667,152.4333,Namatanai Hotel
164,525,Rabak,SD,82.8,clear sky,13.1809,32.74,فندق ربك Rabak Hotel
165,528,Gigmoto,PH,80.13,overcast clouds,13.7796,124.39,Cj's Travellers Inn
166,532,Ugoofaaru,MV,83.64,overcast clouds,5.6667,73.0,Ungoofaaru Inn
167,535,Hambantota,LK,78.66,few clouds,6.1241,81.1185,Bungalow 63
168,541,Port Blair,IN,81.01,moderate rain,11.6667,92.75,Welcomhotel Bay Island Port Blair
169,544,Bani,DO,80.01,clear sky,18.2833,-70.3333,Hospedaje Henriquez
170,548,Key West,US,82.4,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
171,549,Pandan,PH,80.2,overcast clouds,14.0453,124.1694,Bonifacio Lodge
172,551,Carira,BR,75.69,broken clouds,-10.3608,-37.7011,Praca dos motorista
173,552,Trat,TH,81.0,overcast clouds,12.5,102.5,สวนหนิง-อัศ
174,553,Banda Aceh,ID,78.89,light rain,5.5577,95.3222,Sulthan Hotel International
176,555,Dwarka,IN,77.94,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
177,558,San Policarpo,PH,81.1,overcast clouds,12.1791,125.5072,JM Lodge
178,564,Mount Isa,AU,78.8,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
179,565,Sechura,PE,79.27,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
180,575,Daru,PG,78.13,light rain,-9.0763,143.2092,Daru Lodge
181,578,Veraval,IN,76.64,few clouds,20.9,70.3667,Lords Inn Somnath
182,584,Conceicao Da Barra,BR,76.84,few clouds,-18.5933,-39.7322,Cricaré Praia Hotel
184,594,Ouahigouya,BF,81.5,clear sky,13.5828,-2.4216,Hotel Liberte
185,597,Takoradi,GH,80.13,few clouds,4.8845,-1.7554,Raybow International Hotel
186,600,Wete,TZ,77.85,overcast clouds,-5.0559,39.7294,Sharook Riviera Grand Lodge
187,604,Pitimbu,BR,80.6,few clouds,-7.4706,-34.8086,Reserva do Abiaí
188,608,Magdalena,PH,82.0,few clouds,14.1999,121.429,Samparada & Gestiada Residences
189,609,Buchanan,LR,79.07,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
191,612,Mangrol,IN,76.68,few clouds,21.1167,70.1167,Hotel The Royal Honours
192,613,Caravelas,BR,77.23,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
193,616,Canutama,BR,75.04,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
194,623,Luanda,AO,80.6,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
195,626,Riyadh,SA,80.6,clear sky,24.6877,46.7219,InterContinental Riyadh
196,630,Ladario,BR,86.0,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
197,634,Kununurra,AU,75.2,overcast clouds,-15.7667,128.7333,Hotel Kununurra
198,637,Am Timan,TD,85.14,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
